,a1,a2,model_name,sample_size,rmse,mae,test_size,calculation_time
72,0.0,0.0,knn,0.1,1.0251439646889886,0.8624818777863704,0.1,0 days 00:00:00.225176
73,0.0,0.0,knn,0.2,1.0698875511832937,0.8355924458959033,0.1,0 days 00:00:00.187160
74,0.0,0.0,knn,0.4,1.0658126915321773,0.8487145934879456,0.1,0 days 00:00:00.305600
75,0.0,0.0,knn,0.6,0.9675191927695019,0.7603145398892492,0.1,0 days 00:00:00.298083
76,0.0,0.0,knn,0.8,1.0002363028560624,0.7980457710211539,0.1,0 days 00:00:00.561040
77,0.0,0.0,knn,1.0,1.0179175037537278,0.8151377001483654,0.1,0 days 00:00:00.786915
78,0.0,0.3333333333333333,knn,0.1,0.6484361711758243,0.5425898359982636,0.1,0 days 00:00:00.140258
79,0.0,0.3333333333333333,knn,0.2,0.633849365694449,0.5143835865094175,0.1,0 days 00:00:00.156837
80,0.0,0.3333333333333333,knn,0.4,0.6672466871478189,0.5232295538452841,0.1,0 days 00:00:00.272470
81,0.0,0.3333333333333333,knn,0.6,0.6328642424131726,0.5148861138613646,0.1,0 days 00:00:00.439880
82,0.0,0.3333333333333333,knn,0.8,0.6570987718590275,0.5255403368659323,0.1,0 days 00:00:00.487827
83,0.0,0.3333333333333333,knn,1.0,0.6605531639828925,0.5258487601591817,0.1,0 days 00:00:00.588025
84,0.0,0.6666666666666666,knn,0.1,0.3547936870027884,0.2715586170800421,0.1,0 days 00:00:00.074662
85,0.0,0.6666666666666666,knn,0.2,0.36581070701800045,0.28953123813102477,0.1,0 days 00:00:00.098692
86,0.0,0.6666666666666666,knn,0.4,0.32121214300303563,0.2599617949688865,0.1,0 days 00:00:00.122983
87,0.0,0.6666666666666666,knn,0.6,0.33274165545541967,0.25868554210053174,0.1,0 days 00:00:00.181763
88,0.0,0.6666666666666666,knn,0.8,0.31559616339652224,0.25673109927849735,0.1,0 days 00:00:00.313253
89,0.0,0.6666666666666666,knn,1.0,0.33917261155047107,0.26969985637232774,0.1,0 days 00:00:00.261893
90,0.3333333333333333,0.0,knn,0.1,0.6920303797253585,0.5777935235055798,0.1,0 days 00:00:00.227546
91,0.3333333333333333,0.0,knn,0.2,0.7184578127194405,0.5599932255397825,0.1,0 days 00:00:00.168840
92,0.3333333333333333,0.0,knn,0.4,0.712596217920279,0.5677352672293184,0.1,0 days 00:00:00.262831
93,0.3333333333333333,0.0,knn,0.6,0.643218818208094,0.5062906977925082,0.1,0 days 00:00:00.342759
94,0.3333333333333333,0.0,knn,0.8,0.6729987900283868,0.5386610073032991,0.1,0 days 00:00:00.574475
95,0.3333333333333333,0.0,knn,1.0,0.679420680932263,0.5452405990320536,0.1,0 days 00:00:00.638580
96,0.3333333333333333,0.3333333333333333,knn,0.1,0.33677809461088426,0.2863880893779088,0.1,0 days 00:00:00.129466
97,0.3333333333333333,0.3333333333333333,knn,0.2,0.31795327919269084,0.2590684784315918,0.1,0 days 00:00:00.214312
98,0.3333333333333333,0.3333333333333333,knn,0.4,0.33580546913036463,0.26305027787646434,0.1,0 days 00:00:00.270797
99,0.3333333333333333,0.3333333333333333,knn,0.6,0.31729668465649336,0.25840789886883614,0.1,0 days 00:00:00.484236
100,0.3333333333333333,0.3333333333333333,knn,0.8,0.3287697130351305,0.26270433348404704,0.1,0 days 00:00:00.463318
101,0.3333333333333333,0.3333333333333333,knn,1.0,0.33145939235261634,0.2638340452118881,0.1,0 days 00:00:00.608170
102,0.6666666666666666,0.0,knn,0.1,0.358198294617772,0.29596301600159924,0.1,0 days 00:00:00.166361
103,0.6666666666666666,0.0,knn,0.2,0.3643748560070609,0.28263039978373394,0.1,0 days 00:00:00.167982
104,0.6666666666666666,0.0,knn,0.4,0.35660036519215005,0.28414330404001686,0.1,0 days 00:00:00.288841
105,0.6666666666666666,0.0,knn,0.6,0.3219220236319655,0.25280624260926143,0.1,0 days 00:00:00.345818
106,0.6666666666666666,0.0,knn,0.8,0.33663054267922515,0.26958868145061693,0.1,0 days 00:00:00.559853
107,0.6666666666666666,0.0,knn,1.0,0.34005337330329694,0.2729229354568282,0.1,0 days 00:00:00.635214
